rent,bed,bath,school,elemenatary_school,middle_school,high_school,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,area_Allston,area_Back Bay/ Beacon Hill,area_Central,area_Charlestown,area_Dorchester,area_East Boston,area_Fenway,area_Hyde Park,area_Jamaica Plain,area_Mattapan,area_Mission Hill,area_Roslindale,area_Roxbury,area_South Boston,area_South End,area_West Roxbury,property_type_apartment,property_type_condo,property_type_multifamily,property_type_singlefamily,property_type_townhouse,crime_High,crime_Highest,crime_Low,crime_Lowest,crime_Moderate,area
3075,4.0,1.0,2,2,0,0,41,4,1,0,1,1,1,0,0,1,48,8,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2700,2.0,1.0,12,6,3,3,41,5,1,0,1,1,1,1,1,0,248,42,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,East Boston
3200,4.0,1.0,8,4,2,2,41,3,1,0,0,1,1,0,0,1,65,7,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
3050,4.0,1.0,15,7,4,4,41,5,1,0,1,1,1,1,0,0,226,35,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2200,3.0,1.0,12,6,3,3,41,1,1,0,0,0,0,0,1,0,182,39,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,East Boston
2000,1.0,1.0,12,6,3,3,41,3,1,0,0,1,1,0,1,0,201,34,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2300,2.0,1.0,11,5,3,3,41,2,1,0,1,0,0,0,1,0,422,59,169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2700,3.0,1.0,12,6,3,3,41,0,0,0,0,0,0,0,0,0,204,32,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2800,2.0,1.0,6,4,2,0,41,0,0,0,0,0,0,0,1,0,511,66,210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,East Boston
2600,3.0,1.0,4,2,0,2,41,5,1,0,1,1,1,1,0,1,214,38,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
