rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundary,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,url
2900,East Boston,multifamily,3.0,1.0,6,2,2,2,Lowest,41,4,0,0,1,1,1,1,0,0,117,20,21,https://www.trulia.com/p/ma/boston/69-homer-st-3-boston-ma-02128--2356240545
870,East Boston,apartment,1.0,1.0,11,5,3,3,High,41,2,0,0,1,0,1,0,1,0,283,47,88,https://www.trulia.com/rental/9001626370-Apartment-Boston-MA-02128
1800,East Boston,multifamily,1.0,1.0,7,5,2,0,High,41,1,0,0,0,0,0,1,0,1,331,56,124,https://www.trulia.com/p/ma/boston/62-chelsea-st-1-boston-ma-02128--2171577156
1750,East Boston,multifamily,1.0,1.0,8,4,2,2,Low,41,0,0,0,0,0,0,0,0,0,210,36,56,https://www.trulia.com/p/ma/boston/329-e-eagle-st-1-boston-ma-02128--2343765381
1775,East Boston,multifamily,1.0,1.0,2,2,0,0,Lowest,41,0,0,0,0,0,0,0,1,0,55,8,10,https://www.trulia.com/p/ma/boston/10-breed-st-3-boston-ma-02128--2001521895
1750,East Boston,multifamily,1.0,1.0,11,5,3,3,Lowest,41,1,0,0,0,0,0,1,1,1,422,59,169,https://www.trulia.com/p/ma/boston/208-maverick-st-3f-boston-ma-02128--2171577849
3400,East Boston,multifamily,4.0,1.0,11,7,4,0,High,41,2,0,0,1,0,0,1,0,1,302,44,97,https://www.trulia.com/p/ma/boston/143-london-st-1-boston-ma-02128--2406490290
3400,East Boston,multifamily,4.0,1.0,10,4,3,3,Lowest,41,2,0,0,0,1,1,0,0,1,313,43,121,https://www.trulia.com/p/ma/boston/121-cottage-st-2-boston-ma-02128--2171568429
3900,East Boston,multifamily,5.0,1.5,6,2,2,2,Lowest,41,4,0,0,1,1,1,1,1,0,89,14,17,https://www.trulia.com/p/ma/boston/678-bennington-st-2-boston-ma-02128--2171576258
2300,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,4,0,0,1,1,1,1,0,0,238,35,67,https://www.trulia.com/p/ma/boston/159-marion-st-1-boston-ma-02128--2171481471
2895,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,1,0,223,36,61,https://www.trulia.com/p/ma/boston/89-princeton-st-3-boston-ma-02128--2288965072
2200,East Boston,multifamily,2.0,2.0,11,5,3,3,Lowest,41,4,0,0,1,1,1,1,0,1,261,35,88,https://www.trulia.com/p/ma/boston/72-frankfort-st-b-boston-ma-02128--2171826528
3000,East Boston,multifamily,3.0,1.0,11,5,3,3,Lowest,41,4,0,0,1,1,1,1,1,1,284,36,104,https://www.trulia.com/p/ma/boston/143-cottage-st-1-boston-ma-02128--2171568893
3000,East Boston,multifamily,3.0,1.0,8,4,2,2,Lowest,41,2,0,0,0,1,1,0,1,1,63,8,11,https://www.trulia.com/p/ma/boston/740-bennington-st-3-boston-ma-02128--2428286605
1850,East Boston,multifamily,1.0,1.0,7,3,2,2,Lowest,41,1,0,0,0,0,0,1,0,0,70,10,15,https://www.trulia.com/p/ma/boston/184-cowper-st-2-boston-ma-02128--2221732704
1900,East Boston,multifamily,1.0,1.0,11,5,3,3,Low,41,4,0,0,1,1,1,1,1,1,444,59,179,https://www.trulia.com/p/ma/boston/12-everett-st-301-boston-ma-02128--2406137492
2800,East Boston,multifamily,3.0,1.0,10,4,3,3,Lowest,41,0,0,0,0,0,0,0,0,0,361,49,148,https://www.trulia.com/p/ma/boston/273-maverick-st-6-boston-ma-02128--2410407844
2800,East Boston,multifamily,3.0,1.0,11,7,4,0,High,41,3,0,0,0,1,1,1,0,1,331,64,110,https://www.trulia.com/p/ma/boston/151-meridian-st-3-boston-ma-02128--2412347676
2685,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,3,0,0,0,1,1,1,1,0,215,41,56,https://www.trulia.com/p/ma/boston/27-eutaw-st-1-boston-ma-02128--2172842678
2675,East Boston,multifamily,3.0,1.0,11,5,3,3,Lowest,41,4,0,0,1,1,1,1,1,1,422,59,169,https://www.trulia.com/p/ma/boston/208-maverick-st-1-boston-ma-02128--2171826764
2800,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,2,0,0,0,1,1,0,1,0,200,35,53,https://www.trulia.com/p/ma/boston/130-putnam-st-3-boston-ma-02128--2406216917
3300,East Boston,multifamily,4.0,1.0,4,2,0,2,Lowest,41,2,0,0,1,0,0,1,0,1,167,38,34,https://www.trulia.com/p/ma/boston/204-falcon-st-2-boston-ma-02128--2316172057
3350,East Boston,multifamily,4.0,1.0,11,5,3,3,Lowest,41,2,0,0,0,1,1,0,0,0,313,43,121,https://www.trulia.com/p/ma/boston/133-cottage-st-3-boston-ma-02128--2171568267
3400,East Boston,multifamily,4.0,1.0,12,6,3,3,Lowest,41,2,0,0,0,1,1,0,0,0,204,32,59,https://www.trulia.com/p/ma/boston/54-brooks-st-3-boston-ma-02128--2442043228
3500,East Boston,multifamily,4.0,1.0,12,6,3,3,Lowest,41,2,0,0,0,1,1,0,0,0,204,32,59,https://www.trulia.com/p/ma/boston/54-brooks-st-3-boston-ma-02128--2442043228
3500,East Boston,multifamily,4.0,1.0,12,6,3,3,Lowest,41,2,0,0,0,1,1,0,0,0,204,32,59,https://www.trulia.com/p/ma/boston/54-brooks-st-2-boston-ma-02128--2445207944
