rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife
2400,East Boston,multifamily,2.0,1.0,11,5,3,3,Lowest,41,3,1,0,0,1,1,0,0,0,422,59,169
2350,East Boston,multifamily,2.0,1.0,8,4,2,2,Lowest,41,5,1,0,1,1,1,1,0,1,65,7,11
2400,East Boston,multifamily,2.0,1.0,7,3,2,2,Lowest,41,5,1,0,1,1,1,1,1,1,498,72,194
2400,East Boston,multifamily,2.0,1.0,11,5,3,3,Lowest,41,0,0,0,0,0,0,0,0,0,261,35,88
4100,East Boston,multifamily,5.0,2.0,5,3,0,2,Low,41,0,0,0,0,0,0,0,1,0,204,35,55
2850,East Boston,multifamily,3.0,1.0,6,2,2,2,Lowest,41,5,1,0,1,1,1,1,0,0,117,20,21
870,East Boston,apartment,1.0,1.0,11,5,3,3,High,41,2,0,0,1,0,1,0,1,0,283,47,88
1800,East Boston,multifamily,1.0,1.0,7,5,2,0,High,41,1,0,0,0,0,0,1,0,1,331,56,124
1750,East Boston,multifamily,1.0,1.0,8,4,2,2,Low,41,0,0,0,0,0,0,0,0,0,210,36,56
1775,East Boston,multifamily,1.0,1.0,2,2,0,0,Lowest,41,0,0,0,0,0,0,0,1,0,55,8,10
1750,East Boston,multifamily,1.0,1.0,11,5,3,3,Lowest,41,1,0,0,0,0,0,1,1,1,422,59,169
3400,East Boston,multifamily,4.0,1.0,11,7,4,0,High,41,2,0,0,1,0,0,1,0,1,302,44,97
3400,East Boston,multifamily,4.0,1.0,10,4,3,3,Lowest,41,3,1,0,0,1,1,0,0,1,313,43,121
3900,East Boston,multifamily,5.0,1.5,6,2,2,2,Lowest,41,5,1,0,1,1,1,1,1,0,89,14,17
2300,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,5,1,0,1,1,1,1,0,0,238,35,67
2900,East Boston,multifamily,3.0,1.0,6,2,2,2,Lowest,41,5,1,0,1,1,1,1,0,0,117,20,21
2895,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,1,0,223,36,61
2200,East Boston,multifamily,2.0,2.0,11,5,3,3,Lowest,41,5,1,0,1,1,1,1,0,1,261,35,88
3000,East Boston,multifamily,3.0,1.0,11,5,3,3,Lowest,41,5,1,0,1,1,1,1,1,1,284,36,104
1850,East Boston,multifamily,1.0,1.0,7,3,2,2,Lowest,41,1,0,0,0,0,0,1,0,0,70,10,15
1900,East Boston,multifamily,1.0,1.0,11,5,3,3,Low,41,5,1,0,1,1,1,1,1,1,444,59,179
2800,East Boston,multifamily,3.0,1.0,10,4,3,3,Lowest,41,0,0,0,0,0,0,0,0,0,361,49,148
2800,East Boston,multifamily,3.0,1.0,11,7,4,0,High,41,4,1,0,0,1,1,1,0,1,331,64,110
2675,East Boston,multifamily,3.0,1.0,11,5,3,3,Lowest,41,5,1,0,1,1,1,1,1,1,422,59,169
2685,East Boston,multifamily,3.0,1.0,12,6,3,3,Moderate,41,4,1,0,0,1,1,1,1,0,215,41,56
2800,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,3,1,0,0,1,1,0,1,0,200,35,53
3300,East Boston,multifamily,4.0,1.0,4,2,0,2,Lowest,41,2,0,0,1,0,0,1,0,1,167,38,34
3350,East Boston,multifamily,4.0,1.0,11,5,3,3,Lowest,41,3,1,0,0,1,1,0,0,0,313,43,121
3300,East Boston,multifamily,4.0,2.0,8,4,2,2,Lowest,41,3,1,0,0,1,1,0,1,1,63,8,11
3400,East Boston,multifamily,4.0,1.0,12,6,3,3,Low,41,3,1,0,0,1,1,0,0,0,204,32,59
3500,East Boston,multifamily,4.0,1.0,12,6,3,3,Low,41,3,1,0,0,1,1,0,0,0,204,32,59
3500,East Boston,multifamily,4.0,1.0,12,6,3,3,Lowest,41,3,1,0,0,1,1,0,0,0,204,32,59
2700,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,3,1,0,0,1,1,0,1,0,200,35,53
2700,East Boston,multifamily,3.0,1.0,6,4,2,0,High,41,5,1,0,1,1,1,1,0,0,465,63,193
3300,East Boston,multifamily,4.0,1.0,11,5,3,3,Lowest,41,2,0,0,1,0,0,1,0,0,284,36,104
2995,East Boston,multifamily,3.0,1.0,6,4,1,1,Low,41,5,1,0,1,1,1,1,1,1,199,31,56
2350,East Boston,multifamily,2.0,1.0,11,5,3,3,Lowest,41,1,1,0,0,0,0,0,1,0,422,59,169
3200,East Boston,multifamily,4.0,2.5,7,3,2,2,Lowest,41,5,1,0,1,1,1,1,0,1,289,42,111
3150,East Boston,multifamily,3.0,1.0,11,7,4,0,Low,41,5,1,0,1,1,1,1,1,1,285,38,99
