rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,url
1995,South Boston,multifamily,1.0,1.0,18,6,6,6,Lowest,53,3,1,0,0,1,1,0,1,0,327,62,106,https://www.trulia.com/p/ma/boston/address-not-disclosed-boston-ma-02127--2171343553
3050,Dorchester,multifamily,4.0,2.0,12,6,3,3,Low,63,4,1,0,0,1,1,1,1,1,168,34,20,https://www.trulia.com/p/ma/boston/342-bowdoin-st-2-boston-ma-02122--2171828391
1950,Allston,multifamily,1.0,1.0,14,4,5,5,Lowest,31,5,1,0,1,1,1,1,0,0,313,38,64,https://www.trulia.com/p/ma/boston/1079-commonwealth-ave-4-boston-ma-02134--2480298375
900,Dorchester,multifamily,1.0,0.0,7,3,2,2,Moderate,54,5,1,0,1,1,1,1,1,1,104,24,15,https://www.trulia.com/rental/4078642572-1937-Dorchester-Ave-R3781-Boston-MA-02124
3795,Roslindale,multifamily,2.0,2.0,9,3,3,3,Moderate,66,4,1,1,0,1,1,0,1,1,75,17,15,https://www.trulia.com/p/ma/roslindale/43-cummins-hwy-2e-roslindale-ma-02131--2460240366
3300,Charlestown,multifamily,3.0,1.0,8,2,3,3,Moderate,56,3,1,0,1,0,0,1,1,0,426,64,146,https://www.trulia.com/p/ma/charlestown/85-ferrin-st-3-charlestown-ma-02129--2171576206
2050,West Roxbury,multifamily,2.0,1.0,6,2,2,2,Lowest,83,2,0,1,1,0,0,0,1,0,25,4,2,https://www.trulia.com/p/ma/boston/21-westgate-rd-6-boston-ma-02132--2183246853
2100,Dorchester,multifamily,2.0,1.0,14,6,4,4,Moderate,54,3,1,0,0,1,1,0,1,1,135,33,17,https://www.trulia.com/p/ma/boston/8-kenwood-st-11-boston-ma-02124--2444261441
2100,Roxbury,multifamily,2.0,1.0,16,10,3,3,Lowest,53,1,0,0,0,0,0,1,1,1,198,39,28,https://www.trulia.com/p/ma/boston/17-marcella-st-2-boston-ma-02119--2365501400
3975,Roxbury,multifamily,5.0,1.5,15,7,4,4,Low,53,5,1,0,1,1,1,1,0,1,286,60,46,https://www.trulia.com/p/ma/boston/2599-washington-st-1-boston-ma-02119--2356508488
2100,Mattapan,multifamily,3.0,1.0,22,8,7,7,Low,59,1,1,0,0,0,0,0,1,0,80,18,11,https://www.trulia.com/p/ma/boston/49-w-selden-st-1-boston-ma-02126--2172417250
2850,West Roxbury,multifamily,2.0,1.0,6,2,2,2,Lowest,77,5,1,0,1,1,1,1,1,1,34,5,4,https://www.trulia.com/p/ma/boston/190-sherman-rd-boston-ma-02467--2002118534
5700,Jamaica Plain,multifamily,6.0,2.0,27,9,9,9,Low,23,0,0,0,0,0,0,0,1,0,306,34,63,https://www.trulia.com/p/ma/mission-hill/address-not-disclosed-mission-hill-ma-02120--2171453703
2400,Allston,multifamily,2.0,1.0,23,7,8,8,Low,31,3,1,0,0,1,1,0,1,0,314,41,67,https://www.trulia.com/p/ma/boston/120-glenville-ave-7-boston-ma-02134--2172147895
2095,West Roxbury,multifamily,1.0,1.0,7,3,2,2,Lowest,83,5,1,0,1,1,1,1,1,1,35,6,3,https://www.trulia.com/p/ma/boston/125-edgemere-rd-107-boston-ma-02132--2001565369
3600,Allston,multifamily,5.0,1.0,20,6,7,7,Lowest,31,2,0,0,1,0,0,1,0,0,323,42,68,https://www.trulia.com/p/ma/boston/201-harvard-ave-5-boston-ma-02134--2001583394
2200,West Roxbury,multifamily,2.0,1.0,5,3,2,0,Lowest,83,1,0,0,0,0,0,1,1,0,63,14,9,https://www.trulia.com/p/ma/boston/10-graham-ter-10-boston-ma-02132--2193748118
2950,Fenway,multifamily,2.0,1.0,4,0,1,3,Moderate,21,5,1,0,1,1,1,1,0,0,609,65,191,https://www.trulia.com/p/ma/boston/115-saint-stephen-st-b1-boston-ma-02115--2171569000
1950,Hyde Park,multifamily,2.0,1.0,5,3,1,1,Lowest,76,1,1,0,0,0,0,0,1,0,40,8,3,https://www.trulia.com/p/ma/hyde-park/76-sunnyside-st-1-hyde-park-ma-02136--2478257819
5000,East Boston,multifamily,5.0,2.0,10,4,3,3,Low,41,5,1,0,1,1,1,1,0,0,501,64,203,https://www.trulia.com/p/ma/boston/45-orleans-st-3-boston-ma-02128--2171568366
2700,Mattapan,multifamily,4.0,1.0,12,7,5,0,High,59,1,1,0,0,0,0,0,1,1,64,14,4,https://www.trulia.com/p/ma/mattapan/706-walk-hill-st-3-mattapan-ma-02126--2181912897
1800,Dorchester,multifamily,2.0,1.0,12,6,3,3,High,63,0,0,0,0,0,0,0,0,0,152,33,17,https://www.trulia.com/p/ma/boston/388-geneva-ave-3-boston-ma-02122--2333944418
2000,East Boston,multifamily,1.0,1.0,12,6,3,3,Low,41,3,1,0,0,1,1,0,1,0,201,34,57,https://www.trulia.com/p/ma/boston/151-princeton-st-3-boston-ma-02128--2393722119/rent
1895,West Roxbury,multifamily,1.0,1.0,8,4,2,2,Lowest,83,4,1,1,1,0,0,1,1,1,47,7,5,https://www.trulia.com/p/ma/boston/5114-washington-st-6-boston-ma-02132--2174298621
2800,Dorchester,multifamily,4.0,1.0,13,5,4,4,Moderate,63,4,1,0,1,1,1,0,0,1,156,30,19,https://www.trulia.com/p/ma/boston/4-levant-st-1-boston-ma-02122--2173059274
5242,South Boston,apartment,3.0,3.0,3,1,1,1,Lowest,42,0,0,0,0,0,0,0,1,1,754,98,286,https://www.trulia.com/c/ma/boston/nema-boston-399-congress-st-boston-ma-02210--2123135254
975,Dorchester,multifamily,1.0,0.0,14,6,4,4,Moderate,54,4,1,0,0,1,1,1,1,1,135,33,17,https://www.trulia.com/rental/4077774383-8-Kenwood-St-R3692-Boston-MA-02124
2900,South End,multifamily,2.0,1.0,14,4,5,5,Low,32,1,0,0,0,0,0,1,1,1,783,111,260,https://www.trulia.com/p/ma/boston/601-tremont-st-1-boston-ma-02118--2171575138
2000,Roxbury,multifamily,1.0,1.0,7,5,2,0,Lowest,53,0,0,0,0,0,0,0,0,1,339,61,98,https://www.trulia.com/p/ma/boston/14-pompeii-st-3-boston-ma-02119--2439205928
3100,Hyde Park,multifamily,3.0,1.0,11,5,3,3,Lowest,20,1,1,0,0,0,0,0,1,0,38,9,3,https://www.trulia.com/p/ma/boston/5-n-margin-st-3b1b-boston-ma-02113--2463719123
2350,Charlestown,multifamily,2.0,1.0,6,2,2,2,Low,56,3,1,0,1,0,0,1,1,0,302,39,100,https://www.trulia.com/p/ma/boston/96-elm-st-2-boston-ma-02129--2172026508
